ID;repairRequest_ID;logDate;actionType;technician;note
4d4d4d4d-0000-0000-0000-000000000001;3c3c3c3c-0000-0000-0000-000000000001;2026-08-20T09:00:00Z;Diagnosis;;Request received, awaiting triage.
4d4d4d4d-0000-0000-0000-000000000002;3c3c3c3c-0000-0000-0000-000000000002;2026-08-21T09:30:00Z;Diagnosis;;Request received, awaiting triage.
4d4d4d4d-0000-0000-0000-000000000003;3c3c3c3c-0000-0000-0000-000000000003;2026-08-22T10:00:00Z;Diagnosis;;Request received, awaiting triage.
4d4d4d4d-0000-0000-0000-000000000004;3c3c3c3c-0000-0000-0000-000000000004;2026-08-23T08:15:00Z;Diagnosis;;Request received, marked critical due to floor-wide impact.
4d4d4d4d-0000-0000-0000-000000000005;3c3c3c3c-0000-0000-0000-000000000005;2026-08-05T09:15:00Z;Diagnosis;Carla Nowak;Request received, scheduled for diagnosis.
4d4d4d4d-0000-0000-0000-000000000006;3c3c3c3c-0000-0000-0000-000000000005;2026-08-06T11:00:00Z;InProgress;Carla Nowak;Inspecting volume button assembly.
4d4d4d4d-0000-0000-0000-000000000007;3c3c3c3c-0000-0000-0000-000000000006;2026-08-15T09:15:00Z;Diagnosis;Carla Nowak;Request received, scheduled for diagnosis.
4d4d4d4d-0000-0000-0000-000000000008;3c3c3c3c-0000-0000-0000-000000000006;2026-08-16T10:00:00Z;PartsOrdered;Carla Nowak;Feed roller kit ordered from vendor, ETA 5 business days.
4d4d4d4d-0000-0000-0000-000000000009;3c3c3c3c-0000-0000-0000-000000000006;2026-08-17T14:00:00Z;InProgress;Carla Nowak;Waiting for spare part delivery before reassembly.
4d4d4d4d-0000-0000-0000-000000000010;3c3c3c3c-0000-0000-0000-000000000007;2026-08-10T09:15:00Z;Diagnosis;Carla Nowak;Request received, scheduled for diagnosis.
4d4d4d4d-0000-0000-0000-000000000011;3c3c3c3c-0000-0000-0000-000000000007;2026-08-11T10:00:00Z;InProgress;Carla Nowak;Power supply unit suspected faulty, ordering replacement part.
4d4d4d4d-0000-0000-0000-000000000012;3c3c3c3c-0000-0000-0000-000000000008;2026-08-18T08:30:00Z;Diagnosis;Carla Nowak;Device inspected, screen and digitizer both damaged.
4d4d4d4d-0000-0000-0000-000000000013;3c3c3c3c-0000-0000-0000-000000000008;2026-08-18T15:00:00Z;PartsOrdered;Carla Nowak;Replacement screen assembly ordered, expedited shipping requested.
4d4d4d4d-0000-0000-0000-000000000014;3c3c3c3c-0000-0000-0000-000000000008;2026-08-19T09:00:00Z;InProgress;Carla Nowak;Awaiting part delivery, loaner device issued to employee.
4d4d4d4d-0000-0000-0000-000000000015;3c3c3c3c-0000-0000-0000-000000000009;2026-06-15T09:00:00Z;Diagnosis;Carla Nowak;Mouse inspected, scroll wheel mechanism worn out.
4d4d4d4d-0000-0000-0000-000000000016;3c3c3c3c-0000-0000-0000-000000000009;2026-06-15T13:00:00Z;InProgress;Carla Nowak;Replacement unit taken from spare stock.
